country,year,gender,population,num_of_incidence,per_of_incidence,incidence_rate,weight_35f,weight_30f,weight_25f,cholesterol_level,diabetes_level,hypertension_level,smoking_level,obesity_level,country_year_gender
Slovenia,2008,Female,1025660.0,2880.45566717393,0.0008504277026521,280.8392320236657,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,6.32,41.1,,,Slovenia_2008_Female
Slovenia,2009,Female,1030568.0,2883.5837521755857,0.0008475329830201,279.8052871984756,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,6.48,41.1,,,Slovenia_2009_Female
Slovenia,2010,Female,1034545.0,2868.7056238571504,0.0008398690712306,277.29152659934084,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,6.65,41.1,,,Slovenia_2010_Female
Slovenia,2011,Female,1037066.0,2847.3139054262506,0.0008313933145599,274.5547443871702,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,6.82,41.1,,,Slovenia_2011_Female
Slovenia,2012,Female,1038848.0,2810.409025916204,0.0008196862741768,270.5313025501521,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,7.0,41.0,,,Slovenia_2012_Female
Slovenia,2013,Female,1039456.0,2761.2087869038764,0.0008053333346445,265.63979494118814,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,7.18,41.0,,,Slovenia_2013_Female
Slovenia,2014,Female,1040204.0,2700.193247910253,0.000788049145429,259.5830479319684,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,7.37,40.9,16.0,17.4,Slovenia_2014_Female
Slovenia,2015,Female,1040523.0,2629.4126226705057,0.000768014204101,252.70105732122263,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,7.57,40.8,,,Slovenia_2015_Female
Slovenia,2016,Female,1040369.0,2513.6407960138527,0.000734374192531,241.61050512018838,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,7.78,40.8,,,Slovenia_2016_Female
Slovenia,2017,Female,1040188.0,2355.173054865175,0.0006906819938867,226.4180181722126,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,8.0,40.8,,,Slovenia_2017_Female
Slovenia,2018,Female,1039816.0,2192.02645297307,0.0006439847064179,210.80907131387377,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,8.23,40.7,,,Slovenia_2018_Female
Sweden,2000,Female,4485674.0,16986.117974348752,0.0009769972596269,378.67482064788373,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,2.66,33.8,21.0,9.2,Sweden_2000_Female
Sweden,2001,Female,4495365.0,17085.688907281317,0.0009783690738294,380.07345137227605,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,2.66,33.6,19.9,9.2,Sweden_2001_Female
Sweden,2002,Female,4507183.0,17181.583414623412,0.000977385543529,381.2044777108764,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,2.66,33.4,16.1,9.6,Sweden_2002_Female
Sweden,2003,Female,4521349.0,17070.796084895384,0.0009645878339184,377.55979653186216,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,2.68,33.2,16.5,9.5,Sweden_2003_Female
Sweden,2004,Female,4537051.0,16967.683327720602,0.0009518988461238,373.98044076913845,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,2.7,32.9,14.8,9.8,Sweden_2004_Female
Sweden,2005,Female,4553139.0,17028.334853842807,0.0009461544634455,373.9911049024158,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,2.73,32.6,13.8,10.3,Sweden_2005_Female
Sweden,2006,Female,4575468.0,16877.663313177825,0.0009316197507041,368.8729396244892,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,2.77,32.2,14.1,7.7,Sweden_2006_Female
Sweden,2007,Female,4604371.0,16505.812365850234,0.0009048346233949,358.48137271845025,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,2.8,31.8,12.8,10.3,Sweden_2007_Female
Sweden,2008,Female,4635821.0,16005.958876855058,0.0008729496358544,345.26697378641364,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,2.84,31.3,12.9,9.9,Sweden_2008_Female
Sweden,2009,Female,4672151.0,15314.34093666667,0.0008295649519036,327.779237800034,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,2.88,30.8,13.3,10.6,Sweden_2009_Female
Sweden,2010,Female,4708499.0,14772.080666827864,0.0007917011918522,313.732267264533,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,2.91,30.3,12.5,10.6,Sweden_2010_Female
Sweden,2011,Female,4740675.0,14169.024813217737,0.0007531748140897,298.8820118067097,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,2.94,29.7,12.4,10.5,Sweden_2011_Female
Sweden,2012,Female,4773010.0,13543.78888277036,0.0007103319829407,283.7578149379607,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,2.97,29.1,13.1,11.8,Sweden_2012_Female
Sweden,2013,Female,4810245.0,12753.852342030386,0.0006629412262247,265.1393503247836,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,3.01,28.4,11.7,11.2,Sweden_2013_Female
Sweden,2014,Female,4852811.0,12067.231837303214,0.0006204222709038,248.66478083121748,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,3.06,27.7,12.1,12.1,Sweden_2014_Female
Sweden,2015,Female,4897582.0,11640.060808829096,0.0005905767045159,237.66954404906534,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,3.12,27.1,10.7,12.2,Sweden_2015_Female
Sweden,2016,Female,4950926.0,11329.195641572582,0.0005694384074213,228.82983186524262,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,3.2,26.4,11.2,11.6,Sweden_2016_Female
Sweden,2017,Female,5009694.0,11075.076646569018,0.0005518410898945,221.07291676036533,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,3.28,25.8,10.3,12.2,Sweden_2017_Female
Sweden,2018,Female,5062664.0,10868.1312307933,0.0005388907326519,214.67218110451927,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,3.38,25.2,9.2,13.6,Sweden_2018_Female
Greece,2000,Female,5490022.0,14965.941755517966,0.0006648612505652,272.60258256739166,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.83,31.6,27.0,,Greece_2000_Female
Greece,2001,Female,5506580.0,15151.628010468632,0.0006715719249495,275.15496025606876,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,5.91,31.4,,,Greece_2001_Female
Greece,2002,Female,5514108.0,15346.847755290337,0.0006784356038665,278.3196802690542,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,5.99,31.2,,,Greece_2002_Female
Greece,2003,Female,5527645.0,15521.004263342176,0.0006862592919088,280.7887312470713,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.07,31.0,,,Greece_2003_Female
Greece,2004,Female,5542873.0,15566.890327666184,0.0006892350206727,280.8451560709795,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.14,30.8,31.3,,Greece_2004_Female
Greece,2005,Female,5561388.0,15650.784762477251,0.0006939342190363,281.4186811363863,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.19,30.6,,,Greece_2005_Female
Greece,2006,Female,5582547.0,15632.714661713202,0.0006941231758786,280.028357337846,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.23,30.3,30.8,18.3,Greece_2006_Female
Greece,2007,Female,5603373.0,15348.176109411475,0.0006830619052179,273.909591765736,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.25,30.0,,,Greece_2007_Female
Greece,2008,Female,5625818.0,14893.155966439095,0.000664198841016,264.7287197424285,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.24,29.7,33.5,17.6,Greece_2008_Female
Greece,2009,Female,5648540.0,14457.57044417984,0.0006444466241194,255.95234244919644,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.22,29.4,26.1,17.3,Greece_2009_Female
Greece,2010,Female,5664187.0,14215.664803841692,0.0006343039739215,250.97449649599656,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.18,29.0,,,Greece_2010_Female
Greece,2011,Female,5666236.0,14030.477674304926,0.0006289263527907,247.61548361743007,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,6.13,28.7,,,Greece_2011_Female
Greece,2012,Female,5649941.0,13838.037934486234,0.0006218758405903,244.92358299823368,0.9076274377991981,0.7779663752564555,0.648305312713713,4.9,6.07,28.3,,,Greece_2012_Female
Greece,2013,Female,5625465.0,13508.700763146013,0.0006116603701916,240.13482908783564,0.9076274377991981,0.7779663752564555,0.648305312713713,4.9,6.02,28.0,,,Greece_2013_Female
Greece,2014,Female,5601600.0,13321.366543627551,0.0006084227635341,237.8135986794407,0.9076274377991981,0.7779663752564555,0.648305312713713,4.9,5.97,27.6,21.4,16.1,Greece_2014_Female
Greece,2015,Female,5574583.0,13174.535378321483,0.0006039261506345,236.3322131596477,0.9076274377991981,0.7779663752564555,0.648305312713713,4.9,5.94,27.3,,,Greece_2015_Female
Greece,2016,Female,5553222.0,12831.465941589062,0.0005953656062491,231.06344283713244,0.9076274377991981,0.7779663752564555,0.648305312713713,4.9,5.92,27.0,,,Greece_2016_Female
Greece,2017,Female,5539021.0,12546.433260470818,0.0005877460948733,226.50994210837652,0.9076274377991981,0.7779663752564555,0.648305312713713,4.9,5.9,26.7,,,Greece_2017_Female
Greece,2018,Female,5523712.0,12086.21818667665,0.0005715390429166,218.80608885250808,0.9076274377991981,0.7779663752564555,0.648305312713713,4.9,5.9,26.4,,,Greece_2018_Female
Italy,2000,Female,29372449.0,128593.84224078886,0.0011103076332971,437.80429150047667,0.9076274377991981,0.7779663752564555,0.648305312713713,5.3,4.39,36.4,17.4,8.4,Italy_2000_Female
Italy,2001,Female,29394672.0,130787.83121799132,0.0011294255334487,444.9372022861535,0.9076274377991981,0.7779663752564555,0.648305312713713,5.3,4.41,36.1,17.1,8.4,Italy_2001_Female
Italy,2002,Female,29452156.0,131979.314110629,0.0011400521843557,448.1142708555156,0.9076274377991981,0.7779663752564555,0.648305312713713,5.3,4.43,35.8,17.2,8.3,Italy_2002_Female
Italy,2003,Female,29603801.0,132889.94451857576,0.0011464517781577,448.8948717043996,0.9076274377991981,0.7779663752564555,0.648305312713713,5.3,4.46,35.4,17.6,8.7,Italy_2003_Female
Italy,2004,Female,29812164.0,131439.7059326224,0.0011348798471255,440.89287155612857,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.48,35.1,,,Italy_2004_Female
Italy,2005,Female,29977383.0,133361.14909154773,0.0011477240736889,444.8725530562416,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.51,34.7,16.4,9.7,Italy_2005_Female
Italy,2006,Female,30097335.0,133143.13336237002,0.0011438816059664,442.37515833999925,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.53,34.3,17.2,10.0,Italy_2006_Female
Italy,2007,Female,30286647.0,132546.88661123213,0.0011360506354636,437.64133616782385,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.55,33.8,16.6,9.2,Italy_2007_Female
Italy,2008,Female,30528336.0,130841.61764800028,0.0011177317206379,428.5907284563439,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.57,33.4,16.4,9.1,Italy_2008_Female
Italy,2009,Female,30713313.0,128548.27348005962,0.001095883697907,418.5425176374154,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.57,32.9,17.1,9.3,Italy_2009_Female
Italy,2010,Female,30860476.0,126937.8905995459,0.0010782307422443,411.32836252929445,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.57,32.4,17.1,9.6,Italy_2010_Female
Italy,2011,Female,30974257.0,124931.63782393251,0.0010590611736562,403.34022483229387,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,4.56,31.9,16.8,9.4,Italy_2011_Female
Italy,2012,Female,31049119.0,122897.46652913372,0.0010406580131301,395.8162759115121,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,4.56,31.4,16.5,9.5,Italy_2012_Female
Italy,2013,Female,31093905.0,119668.78644627014,0.001013037179668,384.8625203115213,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,4.57,31.0,15.9,9.3,Italy_2013_Female
Italy,2014,Female,31085787.0,117306.8828811368,0.0009951526250729,377.3650089062786,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,4.58,30.5,14.9,9.7,Italy_2014_Female
Italy,2015,Female,31018921.0,116885.91084313951,0.0009930402864631,376.82133057800274,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,4.61,30.1,15.8,9.0,Italy_2015_Female
Italy,2016,Female,30929374.0,114211.0385019119,0.0009767333623947,369.26398349320584,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,4.65,29.7,15.3,9.8,Italy_2016_Female
Italy,2017,Female,30834692.0,113565.51440565822,0.0009759263129606,368.3043579798307,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,4.7,29.3,15.0,9.4,Italy_2017_Female
Italy,2018,Female,30733389.0,111606.61579493944,0.0009658699933352,363.1445129430387,0.9076274377991981,0.7779663752564555,0.648305312713713,5.0,4.76,29.0,15.1,9.8,Italy_2018_Female
Netherlands,2000,Female,8047423.0,15542.15577660032,0.0004708854887148,193.13208435297014,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,29.0,10.2,Netherlands_2000_Female
Netherlands,2001,Female,8105271.0,15189.298999236364,0.000455574008668,187.4002608825339,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,25.4,10.3,Netherlands_2001_Female
Netherlands,2002,Female,8155203.0,14689.198923605984,0.0004368689073239,180.12057975265586,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,24.5,10.8,Netherlands_2002_Female
Netherlands,2003,Female,8194611.0,14034.533702392257,0.000415502496467,171.2654048177791,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,24.3,12.1,Netherlands_2003_Female
Netherlands,2004,Female,8225833.0,13344.67497697288,0.000392350098483,162.22885848731528,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,22.3,12.1,Netherlands_2004_Female
Netherlands,2005,Female,8248178.0,12918.8738658701,0.0003796139680004,156.62700133132554,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,22.1,11.4,Netherlands_2005_Female
Netherlands,2006,Female,8263140.0,12671.313616192028,0.0003715226756467,153.34743954709745,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,21.7,12.7,Netherlands_2006_Female
Netherlands,2007,Female,8281402.0,12395.009418822285,0.0003645454330994,149.67283823224963,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,21.0,12.2,Netherlands_2007_Female
Netherlands,2008,Female,8311360.0,12286.558901222856,0.0003626817993833,147.82850100612723,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,20.8,12.2,Netherlands_2008_Female
Netherlands,2009,Female,8350452.0,12063.211731377374,0.0003572554199821,144.46178160628162,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,19.8,12.4,Netherlands_2009_Female
Netherlands,2010,Female,8391911.0,11924.743628475717,0.0003532189493374,142.09807073115667,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,18.8,12.6,Netherlands_2010_Female
Netherlands,2011,Female,8429897.0,11639.0321108512,0.00034597118061,138.06849728829664,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,18.3,12.6,Netherlands_2011_Female
Netherlands,2012,Female,8459856.0,11438.509734684962,0.000341011530309,135.20927229358233,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,16.3,12.8,Netherlands_2012_Female
Netherlands,2013,Female,8483568.0,11116.987548637946,0.0003322750235542,131.04141498763192,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,16.3,12.2,Netherlands_2013_Female
Netherlands,2014,Female,8511387.0,10839.364585375568,0.0003245772910109,127.35133046324376,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,16.7,15.1,Netherlands_2014_Female
Netherlands,2015,Female,8544923.0,10740.6717417618,0.0003240219969452,125.69653046331489,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,16.9,14.2,Netherlands_2015_Female
Netherlands,2016,Female,8584197.0,10620.335714714322,0.000319832127792,123.71961774309608,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,15.2,15.7,Netherlands_2016_Female
Netherlands,2017,Female,8630221.0,10574.180462622297,0.0003198501595191,122.5250252875598,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,14.1,14.7,Netherlands_2017_Female
Netherlands,2018,Female,8677561.0,10520.259981643589,0.0003174242472073,121.2352178410914,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,13.4,16.2,Netherlands_2018_Female
Portugal,2000,Female,5324594.0,10381.915929928467,0.0005004587546986,194.98042348258792,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.73,34.3,,,Portugal_2000_Female
Portugal,2001,Female,5359805.5,10264.041011789375,0.0004919298675563,191.50025148840524,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.78,34.1,,,Portugal_2001_Female
